frame_num,is_drowsy,left_eye_closed,right_eye_closed,continuous_time,error_code
155,-1,False,False,0.0,LOW_FACE_CONFIDENCE
156,-1,False,False,0.0,LOW_FACE_CONFIDENCE
157,-1,False,False,0.0,LOW_FACE_CONFIDENCE
158,-1,False,False,0.0,LOW_FACE_CONFIDENCE
159,-1,False,False,0.0,LOW_FACE_CONFIDENCE
160,-1,False,False,0.0,LOW_FACE_CONFIDENCE
161,-1,False,False,0.0,LOW_FACE_CONFIDENCE
162,-1,False,False,0.0,LOW_FACE_CONFIDENCE
163,-1,False,False,0.0,LOW_FACE_CONFIDENCE
164,-1,False,False,0.0,LOW_FACE_CONFIDENCE
165,-1,False,False,0.0,LOW_FACE_CONFIDENCE
166,-1,False,False,0.0,LOW_FACE_CONFIDENCE
167,-1,False,False,0.0,LOW_FACE_CONFIDENCE
168,-1,False,False,0.0,LOW_FACE_CONFIDENCE
169,-1,False,False,0.0,LOW_FACE_CONFIDENCE
170,-1,False,False,0.0,LOW_FACE_CONFIDENCE
171,-1,False,False,0.0,LOW_FACE_CONFIDENCE
172,-1,False,False,0.0,LOW_FACE_CONFIDENCE
173,-1,False,False,0.0,LOW_FACE_CONFIDENCE
174,-1,False,False,0.0,LOW_FACE_CONFIDENCE
175,-1,False,False,0.0,LOW_FACE_CONFIDENCE
176,-1,False,False,0.0,LOW_FACE_CONFIDENCE
177,-1,False,False,0.0,LOW_FACE_CONFIDENCE
178,-1,False,False,0.0,LOW_FACE_CONFIDENCE
179,-1,False,False,0.0,LOW_FACE_CONFIDENCE
180,-1,False,False,0.0,LOW_FACE_CONFIDENCE
181,-1,False,False,0.0,LOW_FACE_CONFIDENCE
182,-1,False,False,0.0,LOW_FACE_CONFIDENCE
183,-1,False,False,0.0,LOW_FACE_CONFIDENCE
184,-1,False,False,0.0,LOW_FACE_CONFIDENCE
185,-1,False,False,0.0,LOW_FACE_CONFIDENCE
186,-1,False,False,0.0,LOW_FACE_CONFIDENCE
187,-1,False,False,0.0,LOW_FACE_CONFIDENCE
